ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,NormalizedTitle,NormalizedAuthor,DuplicateKey,RatingCount
0345404114,Sleepers,Lorenzo Carcaterra,1996,Ballantine Books,http://images.amazon.com/images/P/0345404114.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345404114.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345404114.01.LZZZZZZZ.jpg,sleepers,lorenzo carcaterra,sleepers|lorenzo carcaterra,8
0140430725,"Pride and Prejudice (The Penguin English Library, El 72)",Jane Austen,1985,Penguin Books,http://images.amazon.com/images/P/0140430725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140430725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140430725.01.LZZZZZZZ.jpg,pride and prejudice the penguin english library el 72,jane austen,pride and prejudice the penguin english library el 72|jane austen,8
1551668653,Getting Rid Of Bradley,Jennifer Crusie,2001,Mira,http://images.amazon.com/images/P/1551668653.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668653.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668653.01.LZZZZZZZ.jpg,getting rid of bradley,jennifer crusie,getting rid of bradley|jennifer crusie,8
0836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,1995,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836204387.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836204387.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836204387.01.LZZZZZZZ.jpg,the calvin and hobbes tenth anniversary book,bill watterson,the calvin and hobbes tenth anniversary book|bill watterson,8
0836218620,Weirdos From Another Planet!,Bill Watterson,1990,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218620.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218620.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218620.01.LZZZZZZZ.jpg,weirdos from another planet,bill watterson,weirdos from another planet|bill watterson,8
0375725849,Perfume: The Story of a Murderer (Vintage International),Patrick Suskind,2001,Vintage Books USA,http://images.amazon.com/images/P/0375725849.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375725849.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375725849.01.LZZZZZZZ.jpg,perfume the story of a murderer vintage international,patrick suskind,perfume the story of a murderer vintage international|patrick suskind,8
1573227331,About a Boy,Nick Hornby,1999,Riverhead Books,http://images.amazon.com/images/P/1573227331.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573227331.01.LZZZZZZZ.jpg,about a boy,nick hornby,about a boy|nick hornby,8
0061030643,The Associate,Phillip Margolin,2002,HarperTorch,http://images.amazon.com/images/P/0061030643.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061030643.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061030643.01.LZZZZZZZ.jpg,the associate,phillip margolin,the associate|phillip margolin,8
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,breathing lessons,anne tyler,breathing lessons|anne tyler,8
0836221362,It's A Magical World: A Calvin and Hobbes Collection,Bill Watterson,1996,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836221362.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836221362.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836221362.01.LZZZZZZZ.jpg,its a magical world a calvin and hobbes collection,bill watterson,its a magical world a calvin and hobbes collection|bill watterson,8
0395177111,The Hobbit (Leatherette Collector's Edition),J. R. R. Tolkien,1973,Houghton Mifflin Company,http://images.amazon.com/images/P/0395177111.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395177111.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395177111.01.LZZZZZZZ.jpg,the hobbit leatherette collectors edition,j r r tolkien,the hobbit leatherette collectors edition|j r r tolkien,8
0446605409,Plum Island,Nelson DeMille,1998,Warner Books,http://images.amazon.com/images/P/0446605409.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605409.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605409.01.LZZZZZZZ.jpg,plum island,nelson demille,plum island|nelson demille,8
0385498802,Bee Season: A Novel,Myla Goldberg,2001,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385498802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385498802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385498802.01.LZZZZZZZ.jpg,bee season a novel,myla goldberg,bee season a novel|myla goldberg,8
0380710722,It's Always Something,Gilda Radner,1990,Avon,http://images.amazon.com/images/P/0380710722.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380710722.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380710722.01.LZZZZZZZ.jpg,its always something,gilda radner,its always something|gilda radner,8
0553572512,Playing for the Ashes,ELIZABETH GEORGE,1995,Bantam,http://images.amazon.com/images/P/0553572512.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572512.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572512.01.LZZZZZZZ.jpg,playing for the ashes,elizabeth george,playing for the ashes|elizabeth george,8
0064400050,By the Shores of Silver Lake (Little House),Laura Ingalls Wilder,1953,HarperTrophy,http://images.amazon.com/images/P/0064400050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400050.01.LZZZZZZZ.jpg,by the shores of silver lake little house,laura ingalls wilder,by the shores of silver lake little house|laura ingalls wilder,8
1573228737,Affinity,Sarah Waters,2002,Riverhead Books,http://images.amazon.com/images/P/1573228737.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573228737.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573228737.01.LZZZZZZZ.jpg,affinity,sarah waters,affinity|sarah waters,8
0312961324,The Shell Seekers (Shell Seekers),Rosamunde Pilcher,1997,St. Martin's Press,http://images.amazon.com/images/P/0312961324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312961324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312961324.01.LZZZZZZZ.jpg,the shell seekers shell seekers,rosamunde pilcher,the shell seekers shell seekers|rosamunde pilcher,8
0385498721,Survivor : A Novel,CHUCK PALAHNIUK,2000,Anchor,http://images.amazon.com/images/P/0385498721.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385498721.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385498721.01.LZZZZZZZ.jpg,survivor a novel,chuck palahniuk,survivor a novel|chuck palahniuk,8
0804117683,Moo,Jane Smiley,1998,Ivy Books,http://images.amazon.com/images/P/0804117683.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804117683.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804117683.01.LZZZZZZZ.jpg,moo,jane smiley,moo|jane smiley,8
0380774933,Keeper of the Heart,Johanna Lindsey,1993,Avon,http://images.amazon.com/images/P/0380774933.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380774933.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380774933.01.LZZZZZZZ.jpg,keeper of the heart,johanna lindsey,keeper of the heart|johanna lindsey,8
0373825013,"Whirlwind (Tyler, Book 1)",Nancy Martin,1992,Harlequin,http://images.amazon.com/images/P/0373825013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373825013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373825013.01.LZZZZZZZ.jpg,whirlwind tyler book 1,nancy martin,whirlwind tyler book 1|nancy martin,8
0425098648,Night Chills,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425098648.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425098648.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425098648.01.LZZZZZZZ.jpg,night chills,dean r koontz,night chills|dean r koontz,8
0345422317,The Genesis Code,John Case,1998,Ballantine Books,http://images.amazon.com/images/P/0345422317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345422317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345422317.01.LZZZZZZZ.jpg,the genesis code,john case,the genesis code|john case,8
0375706410,Waiting (Vintage International),Ha Jin,2000,Vintage Books USA,http://images.amazon.com/images/P/0375706410.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375706410.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375706410.01.LZZZZZZZ.jpg,waiting vintage international,ha jin,waiting vintage international|ha jin,8
0451180429,The Quiet Game,Greg Iles,2000,Signet Book,http://images.amazon.com/images/P/0451180429.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451180429.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451180429.01.LZZZZZZZ.jpg,the quiet game,greg iles,the quiet game|greg iles,8
067164257X,GARDEN OF SHADOWS (Dollanger Saga (Paperback)),Ariel Jennifer Jones,1987,Pocket,http://images.amazon.com/images/P/067164257X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067164257X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067164257X.01.LZZZZZZZ.jpg,garden of shadows dollanger saga paperback,ariel jennifer jones,garden of shadows dollanger saga paperback|ariel jennifer jones,8
0811831620,The Gryphon: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Is Rediscovered,Nick Bantock,2001,Chronicle Books,http://images.amazon.com/images/P/0811831620.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811831620.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811831620.01.LZZZZZZZ.jpg,the gryphon in which the extraordinary correspondence of griffin amp sabine is rediscovered,nick bantock,the gryphon in which the extraordinary correspondence of griffin amp sabine is rediscovered|nick bantock,8
0553566040,Missing Joseph,Elizabeth George,1994,Bantam Books,http://images.amazon.com/images/P/0553566040.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553566040.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553566040.01.LZZZZZZZ.jpg,missing joseph,elizabeth george,missing joseph|elizabeth george,8
0553575023,Charming the Prince,TERESA MEDEIROS,1999,Bantam,http://images.amazon.com/images/P/0553575023.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553575023.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553575023.01.LZZZZZZZ.jpg,charming the prince,teresa medeiros,charming the prince|teresa medeiros,8
0446343455,Tourist Season,Carl Hiaasen,1987,Warner Books,http://images.amazon.com/images/P/0446343455.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446343455.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446343455.01.LZZZZZZZ.jpg,tourist season,carl hiaasen,tourist season|carl hiaasen,8
0553569155,Seinlanguage,Jerry Seinfeld,1995,Bantam Books,http://images.amazon.com/images/P/0553569155.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553569155.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553569155.01.LZZZZZZZ.jpg,seinlanguage,jerry seinfeld,seinlanguage|jerry seinfeld,8
0451181379,The Door to December,Dean R. Koontz,1994,Signet Book,http://images.amazon.com/images/P/0451181379.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451181379.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451181379.01.LZZZZZZZ.jpg,the door to december,dean r koontz,the door to december|dean r koontz,8
0345384911,Crystal Line,Anne McCaffrey,1993,Del Rey Books,http://images.amazon.com/images/P/0345384911.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345384911.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345384911.01.LZZZZZZZ.jpg,crystal line,anne mccaffrey,crystal line|anne mccaffrey,8
044022425X,Drums of Autumn,DIANA GABALDON,1997,Dell,http://images.amazon.com/images/P/044022425X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044022425X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044022425X.01.LZZZZZZZ.jpg,drums of autumn,diana gabaldon,drums of autumn|diana gabaldon,8
0425152898,Mind Prey,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425152898.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425152898.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425152898.01.LZZZZZZZ.jpg,mind prey,john sandford,mind prey|john sandford,8
0312421036,Eva Moves the Furniture: A Novel,Margot Livesey,2002,Picador,http://images.amazon.com/images/P/0312421036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312421036.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312421036.01.LZZZZZZZ.jpg,eva moves the furniture a novel,margot livesey,eva moves the furniture a novel|margot livesey,8
0767902513,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,1998,Bantam Dell Pub Group,http://images.amazon.com/images/P/0767902513.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767902513.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767902513.01.LZZZZZZZ.jpg,a walk in the woods rediscovering america on the appalachian trail,bill bryson,a walk in the woods rediscovering america on the appalachian trail|bill bryson,8
0440111811,Changes,Danielle Steel,1984,Dell,http://images.amazon.com/images/P/0440111811.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440111811.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440111811.01.LZZZZZZZ.jpg,changes,danielle steel,changes|danielle steel,8
0679426159,Standing in the Rainbow : A Novel,FANNIE FLAGG,2002,Random House,http://images.amazon.com/images/P/0679426159.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679426159.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679426159.01.LZZZZZZZ.jpg,standing in the rainbow a novel,fannie flagg,standing in the rainbow a novel|fannie flagg,8
055357695X,Out of the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,http://images.amazon.com/images/P/055357695X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055357695X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055357695X.01.LZZZZZZZ.jpg,out of the shadows shadows trilogy paperback,kay hooper,out of the shadows shadows trilogy paperback|kay hooper,8
0380753006,Savage Thunder,Johanna Lindsey,1989,Avon,http://images.amazon.com/images/P/0380753006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380753006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380753006.01.LZZZZZZZ.jpg,savage thunder,johanna lindsey,savage thunder|johanna lindsey,8
0440209412,Message from Nam,Danielle Steel,1991,Dell,http://images.amazon.com/images/P/0440209412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440209412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440209412.01.LZZZZZZZ.jpg,message from nam,danielle steel,message from nam|danielle steel,8
0373218397,Summer Pleasures,Nora Roberts,2002,Silhouette,http://images.amazon.com/images/P/0373218397.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373218397.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373218397.01.LZZZZZZZ.jpg,summer pleasures,nora roberts,summer pleasures|nora roberts,8
0811811409,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis",Nick Bantock,1996,Chronicle Books,http://images.amazon.com/images/P/0811811409.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811811409.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811811409.01.LZZZZZZZ.jpg,the venetians wife a strangely sensual tale of a renaissance explorer a computer and a metamorphosis,nick bantock,the venetians wife a strangely sensual tale of a renaissance explorer a computer and a metamorphosis|nick bantock,8
0451160444,Christine,Stephen King,2004,Signet Book,http://images.amazon.com/images/P/0451160444.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451160444.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451160444.01.LZZZZZZZ.jpg,christine,stephen king,christine|stephen king,8
0671034006,Heartbreaker,Julie Garwood,2001,Pocket,http://images.amazon.com/images/P/0671034006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671034006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671034006.01.LZZZZZZZ.jpg,heartbreaker,julie garwood,heartbreaker|julie garwood,8
0140276904,Jemima J,Jane Green,0,Penguin Putnam~trade,http://images.amazon.com/images/P/0140276904.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140276904.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140276904.01.LZZZZZZZ.jpg,jemima j,jane green,jemima j|jane green,8
0451173139,Night over Water,Ken Follett,1992,Signet Book,http://images.amazon.com/images/P/0451173139.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451173139.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451173139.01.LZZZZZZZ.jpg,night over water,ken follett,night over water|ken follett,8
0385317093,Granny Dan,DANIELLE STEEL,1999,Delacorte Press,http://images.amazon.com/images/P/0385317093.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385317093.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385317093.01.LZZZZZZZ.jpg,granny dan,danielle steel,granny dan|danielle steel,8
0380817691,Stalker: A Peter Decker and Rina Lazarus Novel,Faye Kellerman,2001,Avon,http://images.amazon.com/images/P/0380817691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380817691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380817691.01.LZZZZZZZ.jpg,stalker a peter decker and rina lazarus novel,faye kellerman,stalker a peter decker and rina lazarus novel|faye kellerman,8
042518286X,Shock,Robin Cook,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518286X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042518286X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042518286X.01.LZZZZZZZ.jpg,shock,robin cook,shock|robin cook,8
0446527017,Standoff,Sandra Brown,2000,Warner Books,http://images.amazon.com/images/P/0446527017.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446527017.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446527017.01.LZZZZZZZ.jpg,standoff,sandra brown,standoff|sandra brown,8
0440236738,Gone for Good,HARLAN COBEN,2003,Dell,http://images.amazon.com/images/P/0440236738.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236738.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236738.01.LZZZZZZZ.jpg,gone for good,harlan coben,gone for good|harlan coben,8
0373218192,Engaging The Enemy,Nora Roberts,2003,Silhouette,http://images.amazon.com/images/P/0373218192.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373218192.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373218192.01.LZZZZZZZ.jpg,engaging the enemy,nora roberts,engaging the enemy|nora roberts,8
080411868X,"Welcome to the World, Baby Girl!",Fannie Flagg,1999,Ballantine Books,http://images.amazon.com/images/P/080411868X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411868X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411868X.01.LZZZZZZZ.jpg,welcome to the world baby girl,fannie flagg,welcome to the world baby girl|fannie flagg,8
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg,pretend you dont see her,mary higgins clark,pretend you dont see her|mary higgins clark,8
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),http://images.amazon.com/images/P/0399144463.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399144463.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399144463.01.LZZZZZZZ.jpg,who moved my cheese an amazing way to deal with change in your work and in your life,spencer johnson,who moved my cheese an amazing way to deal with change in your work and in your life|spencer johnson,8
0140374248,James and the Giant Peach,Roald Dahl,2000,Penguin USA (Paper),http://images.amazon.com/images/P/0140374248.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140374248.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140374248.01.LZZZZZZZ.jpg,james and the giant peach,roald dahl,james and the giant peach|roald dahl,8
0425130711,Cold Fire,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425130711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425130711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425130711.01.LZZZZZZZ.jpg,cold fire,dean r koontz,cold fire|dean r koontz,8
0679736379,Sophie's Choice,William Styron,1992,Vintage Books USA,http://images.amazon.com/images/P/0679736379.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679736379.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679736379.01.LZZZZZZZ.jpg,sophies choice,william styron,sophies choice|william styron,8
0449213730,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1991,Fawcett Books,http://images.amazon.com/images/P/0449213730.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449213730.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449213730.01.LZZZZZZZ.jpg,the ritual bath peter decker amp rina lazarus novels paperback,faye kellerman,the ritual bath peter decker amp rina lazarus novels paperback|faye kellerman,8
0515124621,Then Came Heaven,LaVyrle Spencer,1999,Jove Books,http://images.amazon.com/images/P/0515124621.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515124621.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515124621.01.LZZZZZZZ.jpg,then came heaven,lavyrle spencer,then came heaven|lavyrle spencer,8
0345333926,Ringworld,Larry Niven,1990,Del Rey Books,http://images.amazon.com/images/P/0345333926.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345333926.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345333926.01.LZZZZZZZ.jpg,ringworld,larry niven,ringworld|larry niven,8
067187098X,For the Roses,Julie Garwood,1996,Pocket,http://images.amazon.com/images/P/067187098X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067187098X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067187098X.01.LZZZZZZZ.jpg,for the roses,julie garwood,for the roses|julie garwood,8
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",http://images.amazon.com/images/P/0316789089.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316789089.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316789089.01.LZZZZZZZ.jpg,the pilots wife a novel tag author of the weight of water oprahs book club hardcover,anita shreve,the pilots wife a novel tag author of the weight of water oprahs book club hardcover|anita shreve,8
0345314255,Sword of Shannara,Terry Brooks,1995,Del Rey Books,http://images.amazon.com/images/P/0345314255.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345314255.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345314255.01.LZZZZZZZ.jpg,sword of shannara,terry brooks,sword of shannara|terry brooks,8
0425153975,The Eyes of Darkness,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425153975.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425153975.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425153975.01.LZZZZZZZ.jpg,the eyes of darkness,dean r koontz,the eyes of darkness|dean r koontz,8
0449002985,Your Oasis on Flame Lake (Ballantine Reader's Circle),LORNA LANDVIK,1998,Ballantine Books,http://images.amazon.com/images/P/0449002985.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449002985.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449002985.01.LZZZZZZZ.jpg,your oasis on flame lake ballantine readers circle,lorna landvik,your oasis on flame lake ballantine readers circle|lorna landvik,7
015668568X,"Old Possum's Book of Practical Cats, Illustrated Edition",T.S. Eliot,1982,Harvest Books,http://images.amazon.com/images/P/015668568X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/015668568X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/015668568X.01.LZZZZZZZ.jpg,old possums book of practical cats illustrated edition,ts eliot,old possums book of practical cats illustrated edition|ts eliot,7
0671003364,Ransom,Julie Garwood,1999,Pocket,http://images.amazon.com/images/P/0671003364.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671003364.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671003364.01.LZZZZZZZ.jpg,ransom,julie garwood,ransom|julie garwood,7
0446516538,Slow Waltz in Cedar Bend,Robert James Waller,1993,Warner Books,http://images.amazon.com/images/P/0446516538.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446516538.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446516538.01.LZZZZZZZ.jpg,slow waltz in cedar bend,robert james waller,slow waltz in cedar bend|robert james waller,7
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,seabiscuit,laura hillenbrand,seabiscuit|laura hillenbrand,7
0446603392,Strange Highways,Dean Koontz,1996,Warner Books,http://images.amazon.com/images/P/0446603392.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446603392.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446603392.01.LZZZZZZZ.jpg,strange highways,dean koontz,strange highways|dean koontz,7
0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris,1996,Penguin Books,http://images.amazon.com/images/P/0140244824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140244824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140244824.01.LZZZZZZZ.jpg,songs in ordinary time oprahs book club paperback,mary mcgarry morris,songs in ordinary time oprahs book club paperback|mary mcgarry morris,7
0441627404,The Once and Future King,T. H. White,1987,Ace Books,http://images.amazon.com/images/P/0441627404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441627404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441627404.01.LZZZZZZZ.jpg,the once and future king,t h white,the once and future king|t h white,7
0060915153,Why Do Clocks Run Clockwise?,David Feldman,1988,Perennial,http://images.amazon.com/images/P/0060915153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060915153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060915153.01.LZZZZZZZ.jpg,why do clocks run clockwise,david feldman,why do clocks run clockwise|david feldman,7
067091021X,Year of Wonders: A Novel of the Plague,Geraldine Brooks,2001,Viking Books,http://images.amazon.com/images/P/067091021X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067091021X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067091021X.01.LZZZZZZZ.jpg,year of wonders a novel of the plague,geraldine brooks,year of wonders a novel of the plague|geraldine brooks,7
